---------------------------------------------------------------------------
|  Fault    |  No. detected   |   Level    |  c0   |  c1   |  n0   |  n1  |
|431-425-0  |        2        |     16     |  16   |   4   |   0   | 5271 |
|431-425-1  |        3        |     16     |  16   |   4   |   0   | 5271 |
|431-428-0  |        2        |     16     |  14   |   4   |   0   | 5254 |
|431-428-1  |        3        |     16     |  14   |   4   |   0   | 5254 |
|432-381-0  |        0        |     14     |   8   |   2   |   0   | 5232 |
|432-381-1  |        5        |     14     |   8   |   2   |   0   | 5232 |
|432-422-0  |        0        |     16     |  12   |   4   |   0   | 5245 |
|432-422-1  |        5        |     16     |  12   |   4   |   0   | 5245 |
|432-425-0  |        0        |     16     |  16   |   4   |   0   | 5271 |
|432-425-1  |        5        |     16     |  16   |   4   |   0   | 5271 |
|432-429-0  |        0        |     16     |  16   |   4   |   0   | 5271 |
|432-429-1  |        5        |     16     |  16   |   4   |   0   | 5271 |
| 118-1-0   |        0        |     0      |   1   |   1   |   0   | 5315 |
| 118-1-1   |       13        |     0      |   1   |   1   |   0   | 5315 |
| 119-4-0   |        0        |     0      |   1   |   1   |   0   | 5315 |
| 119-4-1   |       12        |     0      |   1   |   1   |   0   | 5315 |
| 122-11-0  |        0        |     0      |   1   |   1   | 4252  | 1063 |
| 122-11-1  |        2        |     0      |   1   |   1   | 4252  | 1063 |
| 123-17-0  |        0        |     0      |   1   |   1   | 4252  | 1063 |
| 123-17-1  |        0        |     0      |   1   |   1   | 4252  | 1063 |
| 126-24-0  |       12        |     0      |   1   |   1   | 2126  | 3189 |
| 126-24-1  |        3        |     0      |   1   |   1   | 2126  | 3189 |
| 127-30-0  |        0        |     0      |   1   |   1   | 2126  | 3189 |
| 127-30-1  |        0        |     0      |   1   |   1   | 2126  | 3189 |
| 130-37-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 130-37-1  |        9        |     0      |   1   |   1   |   0   | 5315 |
| 131-43-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 131-43-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 134-50-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 134-50-1  |        9        |     0      |   1   |   1   |   0   | 5315 |
| 135-56-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 135-56-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 138-63-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 138-63-1  |        9        |     0      |   1   |   1   |   0   | 5315 |
| 139-69-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 139-69-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 142-76-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 142-76-1  |        9        |     0      |   1   |   1   |   0   | 5315 |
| 143-82-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 143-82-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 146-89-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 146-89-1  |        9        |     0      |   1   |   1   |   0   | 5315 |
| 147-95-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 147-95-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|150-102-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
|150-102-1  |        9        |     0      |   1   |   1   |   0   | 5315 |
|151-108-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
|151-108-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|154-118-0  |       13        |     1      |   2   |   2   | 5305  |   0  |
|154-118-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 154-4-0   |       13        |     0      |   1   |   1   |   0   | 5315 |
| 154-4-1   |        0        |     0      |   1   |   1   |   0   | 5315 |
| 157-8-0   |        6        |     0      |   1   |   1   | 5315  |   0  |
| 157-8-1   |        0        |     0      |   1   |   1   | 5315  |   0  |
|157-119-0  |        6        |     1      |   2   |   2   | 5305  |   0  |
|157-119-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 158-14-0  |        6        |     0      |   1   |   1   | 5315  |   0  |
| 158-14-1  |        0        |     0      |   1   |   1   | 5315  |   0  |
|158-119-0  |        6        |     1      |   2   |   2   | 5305  |   0  |
|158-119-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
|159-122-0  |        8        |     1      |   2   |   2   | 1061  | 4244 |
|159-122-1  |        0        |     1      |   2   |   2   | 1061  | 4244 |
| 159-17-0  |        8        |     0      |   1   |   1   | 4252  | 1063 |
| 159-17-1  |        0        |     0      |   1   |   1   | 4252  | 1063 |
|162-126-0  |        9        |     1      |   2   |   2   | 3183  | 2122 |
|162-126-1  |       12        |     1      |   2   |   2   | 3183  | 2122 |
| 162-30-0  |        9        |     0      |   1   |   1   | 2126  | 3189 |
| 162-30-1  |       12        |     0      |   1   |   1   | 2126  | 3189 |
|165-130-0  |        9        |     1      |   2   |   2   | 5305  |   0  |
|165-130-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 165-43-0  |        9        |     0      |   1   |   1   |   0   | 5315 |
| 165-43-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|168-134-0  |        9        |     1      |   2   |   2   | 5305  |   0  |
|168-134-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 168-56-0  |        9        |     0      |   1   |   1   |   0   | 5315 |
| 168-56-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|171-138-0  |        9        |     1      |   2   |   2   | 5305  |   0  |
|171-138-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 171-69-0  |        9        |     0      |   1   |   1   |   0   | 5315 |
| 171-69-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|174-142-0  |        9        |     1      |   2   |   2   | 5305  |   0  |
|174-142-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 174-82-0  |        9        |     0      |   1   |   1   |   0   | 5315 |
| 174-82-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|177-146-0  |        9        |     1      |   2   |   2   | 5305  |   0  |
|177-146-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 177-95-0  |        9        |     0      |   1   |   1   |   0   | 5315 |
| 177-95-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|180-150-0  |        9        |     1      |   2   |   2   | 5305  |   0  |
|180-150-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
|180-108-0  |        9        |     0      |   1   |   1   |   0   | 5315 |
|180-108-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 183-21-0  |        0        |     0      |   1   |   1   | 2126  | 3189 |
| 183-21-1  |        0        |     0      |   1   |   1   | 2126  | 3189 |
|183-123-0  |        0        |     1      |   2   |   2   | 1061  | 4244 |
|183-123-1  |        0        |     1      |   2   |   2   | 1061  | 4244 |
| 184-27-0  |        0        |     0      |   1   |   1   | 2126  | 3189 |
| 184-27-1  |        0        |     0      |   1   |   1   | 2126  | 3189 |
|184-123-0  |        0        |     1      |   2   |   2   | 1061  | 4244 |
|184-123-1  |        0        |     1      |   2   |   2   | 1061  | 4244 |
| 185-34-0  |        0        |     0      |   1   |   1   | 1063  | 4252 |
| 185-34-1  |        8        |     0      |   1   |   1   | 1063  | 4252 |
|185-127-0  |        0        |     1      |   2   |   2   | 3183  | 2122 |
|185-127-1  |        8        |     1      |   2   |   2   | 3183  | 2122 |
| 186-40-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 186-40-1  |        8        |     0      |   1   |   1   |   0   | 5315 |
|186-127-0  |        0        |     1      |   2   |   2   | 3183  | 2122 |
|186-127-1  |        8        |     1      |   2   |   2   | 3183  | 2122 |
| 187-47-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 187-47-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|187-131-0  |        0        |     1      |   2   |   2   | 5305  |   0  |
|187-131-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 188-53-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 188-53-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|188-131-0  |        0        |     1      |   2   |   2   | 5305  |   0  |
|188-131-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 189-60-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 189-60-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|189-135-0  |        0        |     1      |   2   |   2   | 5305  |   0  |
|189-135-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 190-66-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 190-66-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|190-135-0  |        0        |     1      |   2   |   2   | 5305  |   0  |
|190-135-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 191-73-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 191-73-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|191-139-0  |        0        |     1      |   2   |   2   | 5305  |   0  |
|191-139-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 192-79-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 192-79-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|192-139-0  |        0        |     1      |   2   |   2   | 5305  |   0  |
|192-139-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 193-86-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 193-86-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|193-143-0  |        0        |     1      |   2   |   2   | 5305  |   0  |
|193-143-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 194-92-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 194-92-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|194-143-0  |        0        |     1      |   2   |   2   | 5305  |   0  |
|194-143-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
| 195-99-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 195-99-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|195-147-0  |        0        |     1      |   2   |   2   | 5305  |   0  |
|195-147-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
|196-105-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
|196-105-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|196-147-0  |        0        |     1      |   2   |   2   | 5305  |   0  |
|196-147-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
|197-112-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
|197-112-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|197-151-0  |        0        |     1      |   2   |   2   | 5305  |   0  |
|197-151-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
|198-115-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
|198-115-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|198-151-0  |        0        |     1      |   2   |   2   | 5305  |   0  |
|198-151-1  |        0        |     1      |   2   |   2   | 5305  |   0  |
|199-154-0  |        9        |     2      |   4   |   2   |   0   | 5290 |
|199-154-1  |       12        |     2      |   4   |   2   |   0   | 5290 |
|199-159-0  |        9        |     2      |   4   |   2   |   0   | 5298 |
|199-159-1  |       12        |     2      |   4   |   2   |   0   | 5298 |
|199-162-0  |        9        |     2      |   4   |   2   | 2114  | 3180 |
|199-162-1  |       12        |     2      |   4   |   2   | 2114  | 3180 |
|199-165-0  |        9        |     2      |   4   |   2   |   0   | 5290 |
|199-165-1  |       12        |     2      |   4   |   2   |   0   | 5290 |
|199-168-0  |        9        |     2      |   4   |   2   |   0   | 5290 |
|199-168-1  |       12        |     2      |   4   |   2   |   0   | 5290 |
|199-171-0  |        9        |     2      |   4   |   2   |   0   | 5290 |
|199-171-1  |       12        |     2      |   4   |   2   |   0   | 5290 |
|199-174-0  |        9        |     2      |   4   |   2   |   0   | 5290 |
|199-174-1  |       12        |     2      |   4   |   2   |   0   | 5290 |
|199-177-0  |        9        |     2      |   4   |   2   |   0   | 5290 |
|199-177-1  |       12        |     2      |   4   |   2   |   0   | 5290 |
|199-180-0  |        9        |     2      |   4   |   2   |   0   | 5290 |
|199-180-1  |       12        |     2      |   4   |   2   |   0   | 5290 |
|203-199-0  |       10        |     3      |   5   |  19   | 2094  | 3010 |
|203-199-1  |       13        |     3      |   5   |  19   | 2094  | 3010 |
|213-199-0  |        2        |     3      |   5   |  19   | 2094  | 3010 |
|213-199-1  |        0        |     3      |   5   |  19   | 2094  | 3010 |
|224-203-0  |       12        |     4      |  20   |   6   | 3004  | 2090 |
|224-203-1  |       10        |     4      |  20   |   6   | 3004  | 2090 |
|224-154-0  |       12        |     2      |   4   |   2   |   0   | 5290 |
|224-154-1  |       10        |     2      |   4   |   2   |   0   | 5290 |
|227-203-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|227-203-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|227-159-0  |        0        |     2      |   4   |   2   |   0   | 5298 |
|227-159-1  |        0        |     2      |   4   |   2   |   0   | 5298 |
|230-203-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|230-203-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|230-162-0  |        0        |     2      |   4   |   2   | 2114  | 3180 |
|230-162-1  |        0        |     2      |   4   |   2   | 2114  | 3180 |
|233-203-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|233-203-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|233-165-0  |        0        |     2      |   4   |   2   |   0   | 5290 |
|233-165-1  |        0        |     2      |   4   |   2   |   0   | 5290 |
|236-203-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|236-203-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|236-168-0  |        0        |     2      |   4   |   2   |   0   | 5290 |
|236-168-1  |        0        |     2      |   4   |   2   |   0   | 5290 |
|239-203-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|239-203-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|239-171-0  |        0        |     2      |   4   |   2   |   0   | 5290 |
|239-171-1  |        0        |     2      |   4   |   2   |   0   | 5290 |
| 242-1-0   |        0        |     0      |   1   |   1   |   0   | 5315 |
| 242-1-1   |        2        |     0      |   1   |   1   |   0   | 5315 |
|242-213-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|242-213-1  |        2        |     4      |  20   |   6   | 3004  | 2090 |
|243-203-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|243-203-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|243-174-0  |        0        |     2      |   4   |   2   |   0   | 5290 |
|243-174-1  |        0        |     2      |   4   |   2   |   0   | 5290 |
|246-213-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|246-213-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
| 246-11-0  |        0        |     0      |   1   |   1   | 4252  | 1063 |
| 246-11-1  |        0        |     0      |   1   |   1   | 4252  | 1063 |
|247-203-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|247-203-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|247-177-0  |        0        |     2      |   4   |   2   |   0   | 5290 |
|247-177-1  |        0        |     2      |   4   |   2   |   0   | 5290 |
|250-213-0  |        6        |     4      |  20   |   6   | 3004  | 2090 |
|250-213-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
| 250-24-0  |        6        |     0      |   1   |   1   | 2126  | 3189 |
| 250-24-1  |        0        |     0      |   1   |   1   | 2126  | 3189 |
|251-203-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|251-203-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|251-180-0  |        0        |     2      |   4   |   2   |   0   | 5290 |
|251-180-1  |        0        |     2      |   4   |   2   |   0   | 5290 |
|254-213-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|254-213-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
| 254-37-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 254-37-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|255-213-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|255-213-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
| 255-50-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 255-50-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|256-213-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|256-213-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
| 256-63-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 256-63-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|257-213-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|257-213-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
| 257-76-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 257-76-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|258-213-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|258-213-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
| 258-89-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
| 258-89-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|259-213-0  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|259-213-1  |        0        |     4      |  20   |   6   | 3004  | 2090 |
|259-102-0  |        0        |     0      |   1   |   1   |   0   | 5315 |
|259-102-1  |        0        |     0      |   1   |   1   |   0   | 5315 |
|260-224-0  |        8        |     5      |   9   |  11   | 2072  | 3013 |
|260-224-1  |        6        |     5      |   9   |  11   | 2072  | 3013 |
|260-157-0  |        8        |     2      |   2   |   4   |   0   | 5285 |
|260-157-1  |        6        |     2      |   2   |   4   |   0   | 5285 |
|263-224-0  |        8        |     5      |   9   |  11   | 2072  | 3013 |
|263-224-1  |        6        |     5      |   9   |  11   | 2072  | 3013 |
|263-158-0  |        8        |     2      |   2   |   4   |   0   | 5285 |
|263-158-1  |        6        |     2      |   2   |   4   |   0   | 5285 |
|264-227-0  |        8        |     5      |   9   |  11   | 2076  | 3009 |
|264-227-1  |        0        |     5      |   9   |  11   | 2076  | 3009 |
|264-183-0  |        8        |     2      |   2   |   4   | 4241  | 1057 |
|264-183-1  |        0        |     2      |   2   |   4   | 4241  | 1057 |
|267-230-0  |        8        |     5      |   9   |  11   |   0   | 5105 |
|267-230-1  |        0        |     5      |   9   |  11   |   0   | 5105 |
|267-185-0  |        8        |     2      |   2   |   4   | 5299  |   0  |
|267-185-1  |        0        |     2      |   2   |   4   | 5299  |   0  |
|270-233-0  |        8        |     5      |   9   |  11   | 2072  | 3013 |
|270-233-1  |        0        |     5      |   9   |  11   | 2072  | 3013 |
|270-187-0  |        8        |     2      |   2   |   4   | 5300  |   0  |
|270-187-1  |        0        |     2      |   2   |   4   | 5300  |   0  |
|273-236-0  |        8        |     5      |   9   |  11   | 2072  | 3013 |
|273-236-1  |        0        |     5      |   9   |  11   | 2072  | 3013 |
|273-189-0  |        8        |     2      |   2   |   4   | 5300  |   0  |
|273-189-1  |        0        |     2      |   2   |   4   | 5300  |   0  |
|276-239-0  |        8        |     5      |   9   |  11   | 2072  | 3013 |
|276-239-1  |        0        |     5      |   9   |  11   | 2072  | 3013 |
|276-191-0  |        8        |     2      |   2   |   4   | 5300  |   0  |
|276-191-1  |        0        |     2      |   2   |   4   | 5300  |   0  |
|279-243-0  |        8        |     5      |   9   |  11   | 2072  | 3013 |
|279-243-1  |        0        |     5      |   9   |  11   | 2072  | 3013 |
|279-193-0  |        8        |     2      |   2   |   4   | 5300  |   0  |
|279-193-1  |        0        |     2      |   2   |   4   | 5300  |   0  |
|282-247-0  |        8        |     5      |   9   |  11   | 2072  | 3013 |
|282-247-1  |        0        |     5      |   9   |  11   | 2072  | 3013 |
|282-195-0  |        8        |     2      |   2   |   4   | 5300  |   0  |
|282-195-1  |        0        |     2      |   2   |   4   | 5300  |   0  |
|285-251-0  |        8        |     5      |   9   |  11   | 2072  | 3013 |
|285-251-1  |        0        |     5      |   9   |  11   | 2072  | 3013 |
|285-197-0  |        8        |     2      |   2   |   4   | 5300  |   0  |
|285-197-1  |        0        |     2      |   2   |   4   | 5300  |   0  |
|288-227-0  |        8        |     5      |   9   |  11   | 2076  | 3009 |
|288-227-1  |        0        |     5      |   9   |  11   | 2076  | 3009 |
|288-184-0  |        8        |     2      |   2   |   4   | 5298  |   0  |
|288-184-1  |        0        |     2      |   2   |   4   | 5298  |   0  |
|289-230-0  |        8        |     5      |   9   |  11   |   0   | 5105 |
|289-230-1  |        0        |     5      |   9   |  11   |   0   | 5105 |
|289-186-0  |        8        |     2      |   2   |   4   | 5302  |   0  |
|289-186-1  |        0        |     2      |   2   |   4   | 5302  |   0  |
|290-233-0  |        8        |     5      |   9   |  11   | 2072  | 3013 |
|290-233-1  |        0        |     5      |   9   |  11   | 2072  | 3013 |
|290-188-0  |        8        |     2      |   2   |   4   | 5300  |   0  |
|290-188-1  |        0        |     2      |   2   |   4   | 5300  |   0  |
|291-236-0  |        8        |     5      |   9   |  11   | 2072  | 3013 |
|291-236-1  |        0        |     5      |   9   |  11   | 2072  | 3013 |
|291-190-0  |        8        |     2      |   2   |   4   | 5300  |   0  |
|291-190-1  |        0        |     2      |   2   |   4   | 5300  |   0  |
|292-239-0  |        8        |     5      |   9   |  11   | 2072  | 3013 |
|292-239-1  |        0        |     5      |   9   |  11   | 2072  | 3013 |
|292-192-0  |        8        |     2      |   2   |   4   | 5300  |   0  |
|292-192-1  |        0        |     2      |   2   |   4   | 5300  |   0  |
|293-243-0  |        8        |     5      |   9   |  11   | 2072  | 3013 |
|293-243-1  |        0        |     5      |   9   |  11   | 2072  | 3013 |
|293-194-0  |        8        |     2      |   2   |   4   | 5300  |   0  |
|293-194-1  |        0        |     2      |   2   |   4   | 5300  |   0  |
|294-247-0  |        8        |     5      |   9   |  11   | 2072  | 3013 |
|294-247-1  |        0        |     5      |   9   |  11   | 2072  | 3013 |
|294-196-0  |        8        |     2      |   2   |   4   | 5300  |   0  |
|294-196-1  |        0        |     2      |   2   |   4   | 5300  |   0  |
|295-251-0  |        8        |     5      |   9   |  11   | 2072  | 3013 |
|295-251-1  |        0        |     5      |   9   |  11   | 2072  | 3013 |
|295-198-0  |        8        |     2      |   2   |   4   | 5300  |   0  |
|295-198-1  |        0        |     2      |   2   |   4   | 5300  |   0  |
|296-260-0  |        8        |     6      |  16   |   3   | 2983  | 2066 |
|296-260-1  |       13        |     6      |  16   |   3   | 2983  | 2066 |
|296-264-0  |        8        |     6      |  16   |   3   |  991  | 4237 |
|296-264-1  |       13        |     6      |  16   |   3   |  991  | 4237 |
|296-267-0  |        8        |     6      |  16   |   3   |   0   | 5284 |
|296-267-1  |       13        |     6      |  16   |   3   |   0   | 5284 |
|296-270-0  |        8        |     6      |  16   |   3   |   0   | 5293 |
|296-270-1  |       13        |     6      |  16   |   3   |   0   | 5293 |
|296-273-0  |        8        |     6      |  16   |   3   |   0   | 5293 |
|296-273-1  |       13        |     6      |  16   |   3   |   0   | 5293 |
|296-276-0  |        8        |     6      |  16   |   3   |   0   | 5293 |
|296-276-1  |       13        |     6      |  16   |   3   |   0   | 5293 |
|296-279-0  |        8        |     6      |  16   |   3   |   0   | 5293 |
|296-279-1  |       13        |     6      |  16   |   3   |   0   | 5293 |
|296-282-0  |        8        |     6      |  16   |   3   |   0   | 5293 |
|296-282-1  |       13        |     6      |  16   |   3   |   0   | 5293 |
|296-285-0  |        8        |     6      |  16   |   3   |   0   | 5293 |
|296-285-1  |       13        |     6      |  16   |   3   |   0   | 5293 |
|300-263-0  |        6        |     6      |  16   |   3   | 2983  | 2066 |
|300-263-1  |        8        |     6      |  16   |   3   | 2983  | 2066 |
|301-288-0  |        0        |     6      |  16   |   3   |   0   | 5291 |
|301-288-1  |        8        |     6      |  16   |   3   |   0   | 5291 |
|302-289-0  |        0        |     6      |  16   |   3   |   0   | 5287 |
|302-289-1  |        8        |     6      |  16   |   3   |   0   | 5287 |
|303-290-0  |        0        |     6      |  16   |   3   |   0   | 5293 |
|303-290-1  |        8        |     6      |  16   |   3   |   0   | 5293 |
|304-291-0  |        0        |     6      |  16   |   3   |   0   | 5293 |
|304-291-1  |        8        |     6      |  16   |   3   |   0   | 5293 |
|305-292-0  |        0        |     6      |  16   |   3   |   0   | 5293 |
|305-292-1  |        8        |     6      |  16   |   3   |   0   | 5293 |
|306-293-0  |        0        |     6      |  16   |   3   |   0   | 5293 |
|306-293-1  |        8        |     6      |  16   |   3   |   0   | 5293 |
|307-294-0  |        0        |     6      |  16   |   3   |   0   | 5293 |
|307-294-1  |        8        |     6      |  16   |   3   |   0   | 5293 |
|308-295-0  |        0        |     6      |  16   |   3   |   0   | 5293 |
|308-295-1  |        8        |     6      |  16   |   3   |   0   | 5293 |
|309-296-0  |        6        |     7      |  17   |  28   | 2972  | 1989 |
|309-296-1  |        0        |     7      |  17   |  28   | 2972  | 1989 |
|319-296-0  |        0        |     7      |  17   |  28   | 2972  | 1989 |
|319-296-1  |        6        |     7      |  17   |  28   | 2972  | 1989 |
|330-309-0  |        6        |     8      |  29   |  18   | 1985  | 2966 |
|330-309-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|330-260-0  |        6        |     6      |  16   |   3   | 2983  | 2066 |
|330-260-1  |        0        |     6      |  16   |   3   | 2983  | 2066 |
|331-309-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|331-309-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|331-264-0  |        0        |     6      |  16   |   3   |  991  | 4237 |
|331-264-1  |        0        |     6      |  16   |   3   |  991  | 4237 |
|332-309-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|332-309-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|332-267-0  |        0        |     6      |  16   |   3   |   0   | 5284 |
|332-267-1  |        0        |     6      |  16   |   3   |   0   | 5284 |
|333-309-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|333-309-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|333-270-0  |        0        |     6      |  16   |   3   |   0   | 5293 |
|333-270-1  |        0        |     6      |  16   |   3   |   0   | 5293 |
| 334-8-0   |        0        |     0      |   1   |   1   | 5315  |   0  |
| 334-8-1   |        0        |     0      |   1   |   1   | 5315  |   0  |
|334-319-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|334-319-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|335-309-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|335-309-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|335-273-0  |        0        |     6      |  16   |   3   |   0   | 5293 |
|335-273-1  |        0        |     6      |  16   |   3   |   0   | 5293 |
|336-319-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|336-319-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
| 336-21-0  |        0        |     0      |   1   |   1   | 2126  | 3189 |
| 336-21-1  |        0        |     0      |   1   |   1   | 2126  | 3189 |
|337-309-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|337-309-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|337-276-0  |        0        |     6      |  16   |   3   |   0   | 5293 |
|337-276-1  |        0        |     6      |  16   |   3   |   0   | 5293 |
|338-319-0  |        6        |     8      |  29   |  18   | 1985  | 2966 |
|338-319-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
| 338-34-0  |        6        |     0      |   1   |   1   | 1063  | 4252 |
| 338-34-1  |        0        |     0      |   1   |   1   | 1063  | 4252 |
|339-309-0  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|339-309-1  |        0        |     8      |  29   |  18   | 1985  | 2966 |
|339-279-0  |        0        |     6      |  16   |   3   |   0   | 5293 |
|339-279-1  |        0        |     6      |  16   |   3   |   0   | 5293 |
